,Unnamed: 0,location,total_sqft,bath,price,bhk
0,0,uttara sector 1,2097,3,19000000,3
1,1,uttara sector 1,1795,3,12500000,3
2,2,uttara sector 1,1300,3,13000000,3
3,3,uttara sector 1,1300,3,16000000,3
4,4,uttara sector 1,1559,3,12000000,3
5,5,uttara sector 1,2900,4,26000000,4
6,6,uttara sector 1,3000,4,39000000,4
7,7,uttara sector 1,2300,4,25000000,3
8,8,uttara sector 1,1450,4,11500000,3
9,9,uttara sector 1,1500,3,15000000,3
10,10,uttara sector 3,1562,3,13000000,3
11,11,uttara sector 3,2009,4,19900000,3
12,12,uttara sector 3,1940,3,18000000,3
13,13,uttara sector 3,3860,6,35000000,5
14,14,uttara sector 3,1450,4,13600000,3
15,15,uttara sector 3,1550,4,13000000,3
16,16,uttara sector 3,1555,2,11000000,3
17,17,uttara sector 3,1800,4,20000000,3
18,18,uttara sector 3,2025,4,26000000,4
19,19,uttara sector 3,2025,4,25000000,4
20,20,uttara sector 3,2350,5,23500000,4
21,21,uttara sector 3,1460,3,12000000,3
22,22,uttara sector 3,1125,3,8500000,3
23,23,uttara sector 3,2150,4,14500000,4
24,24,uttara sector 3,2250,4,14600000,3
25,25,uttara sector 3,2470,4,24500000,4
26,26,uttara sector 3,1450,3,10000000,3
27,27,uttara sector 3,2150,3,15000000,3
28,28,uttara sector 3,2555,4,19000000,4
29,29,uttara sector 3,800,1,4200000,1
30,30,uttara sector 3,1620,3,16400000,3
31,31,uttara sector 3,1877,3,14500000,3
32,32,uttara sector 3,1620,3,16400000,3
33,33,uttara sector 3,2490,4,21000000,4
34,34,uttara sector 3,2100,4,17000000,4
35,35,uttara sector 3,1620,3,16400000,3
36,36,uttara sector 3,3070,5,24600000,5
37,37,uttara sector 3,1901,3,19000000,3
38,38,uttara sector 3,2111,3,18000000,3
39,39,uttara sector 3,1562,3,12500000,3
40,40,uttara sector 3,1415,3,12000000,3
41,41,uttara sector 3,1750,3,13500000,3
42,42,uttara sector 3,2575,4,30900000,3
43,43,uttara sector 3,1600,3,13600000,3
44,44,uttara sector 3,1734,3,17000000,3
45,45,uttara sector 3,2130,3,19200000,3
46,46,uttara sector 3,1500,3,8800000,3
47,47,uttara sector 3,3235,5,35000000,4
48,48,uttara sector 3,2200,4,20000000,3
49,49,uttara sector 3,2520,5,22500000,4
50,50,uttara sector 4,2004,3,16000000,3
51,51,uttara sector 4,1525,3,11500000,3
52,52,uttara sector 4,3355,4,42000000,4
53,53,uttara sector 4,1646,4,15200000,3
54,54,uttara sector 4,2024,3,16200000,3
55,55,uttara sector 4,1506,3,10500000,3
56,56,uttara sector 4,1685,4,11400000,3
57,57,uttara sector 4,1913,4,16500000,3
58,58,uttara sector 4,2050,3,22500000,3
59,59,uttara sector 4,2190,3,24100000,3
60,60,uttara sector 4,2250,3,24800000,3
61,61,uttara sector 4,1085,2,6500000,2
62,62,uttara sector 4,2050,3,23900000,3
63,63,uttara sector 4,2050,3,24900000,3
64,64,uttara sector 4,1637,3,16000000,3
65,65,uttara sector 4,2300,4,25000000,3
66,66,uttara sector 4,2200,4,24000000,3
67,67,uttara sector 4,1723,4,11000000,3
68,68,uttara sector 4,2688,4,25000000,4
69,69,uttara sector 4,1620,4,11500000,3
70,70,uttara sector 4,1605,4,11500000,3
71,71,uttara sector 4,1820,4,19000000,3
72,72,uttara sector 4,2620,4,25000000,3
73,73,uttara sector 4,1200,2,8500000,3
74,74,uttara sector 4,1913,5,17300000,3
75,75,uttara sector 4,1360,3,13000000,3
76,76,uttara sector 4,1700,3,11800000,3
77,77,uttara sector 4,1855,3,13100000,3
78,78,uttara sector 4,1530,4,15000000,3
79,79,uttara sector 4,1997,4,19500000,3
80,80,uttara sector 4,1060,2,7500000,2
81,81,uttara sector 5,1760,3,21500000,3
82,82,uttara sector 5,1665,3,17000000,3
83,83,uttara sector 5,807,2,5200000,2
84,84,uttara sector 5,1297,3,8400000,3
85,85,uttara sector 5,1400,3,11500000,3
86,86,uttara sector 5,827,2,6600000,2
87,87,uttara sector 5,1760,3,21200000,3
88,88,uttara sector 5,1750,3,14500000,3
89,89,uttara sector 5,1850,3,15000000,3
90,90,uttara sector 5,1850,3,14500000,3
91,91,uttara sector 5,1260,3,7000000,3
92,92,uttara sector 5,1149,3,6000000,3
93,93,uttara sector 5,2191,4,18000000,4
94,94,uttara sector 5,1200,3,8000000,3
95,95,uttara sector 5,1340,3,10000000,3
96,96,uttara sector 5,1300,3,9600000,3
97,97,uttara sector 5,1297,3,9000000,3
98,98,uttara sector 5,1800,3,14000000,3
99,99,uttara sector 5,1365,3,8000000,3
100,100,uttara sector 6,1518,4,13200000,3
101,101,uttara sector 6,1320,3,11500000,3
102,102,uttara sector 6,1679,4,13500000,3
103,103,uttara sector 6,2370,3,21000000,3
104,104,uttara sector 6,1095,2,7500000,2
105,105,uttara sector 6,2370,3,22000000,3
106,106,uttara sector 6,1626,3,12200000,3
107,107,uttara sector 6,1708,3,14000000,3
108,108,uttara sector 6,1670,4,12200000,3
109,109,uttara sector 6,1534,4,12000000,3
110,110,uttara sector 6,1734,4,16000000,3
111,111,uttara sector 6,3000,6,22500000,4
112,112,uttara sector 6,1514,3,12500000,3
113,113,basundhara-r-a block a,1440,3,9000000,3
114,114,basundhara-r-a block a,2396,3,13000000,4
115,115,basundhara-r-a block a,1250,3,10000000,3
116,116,basundhara-r-a block a,1250,3,9200000,3
117,117,basundhara-r-a block a,1801,3,12500000,3
118,118,basundhara-r-a block a,2750,4,24000000,4
119,119,basundhara-r-a block a,1357,3,8500000,3
120,120,basundhara-r-a block a,2700,5,26000000,4
121,121,basundhara-r-a block a,2050,4,16500000,3
122,122,basundhara-r-a block a,2210,3,19500000,3
123,123,basundhara-r-a block a,1900,4,17100000,3
124,124,basundhara-r-a block a,2450,4,25500000,3
